ticker,fiscalPeriod,earningsDate,fiscalEndDate,epsActual,epsEstimate,epsReportedActual,epsReportedEstimate,salesActual,salesEstimate,epsAnalysts,epsReportedAnalysts,salesAnalysts
AAPL,2000Q3,2000-07-18T16:30:00,2000-06-30,0.008,0.0078,,,1830.0,1952.2,,,
AAPL,2000Q2,2000-04-19T16:30:00,2000-03-31,0.0079,0.0071,,,1945.0,1961.7167,,,
AAPL,2000Q1,2000-01-19T16:30:00,1999-12-31,0.0089,0.008,,,2343.0,2039.6667,,,
AAPL,2026Q2,,2026-03-31,,1.9345,,1.9345,,108602.0547,31.0,31.0,30.0
AAPL,2026Q3,,2026-06-30,,1.7223,,1.7223,,101413.8931,30.0,30.0,27.0
AAPL,2026Q4,,2026-09-30,,1.9703,,1.9703,,110941.8517,30.0,30.0,27.0
AAPL,2027Q1,,2026-12-31,,2.971,,2.971,,149971.5483,20.0,20.0,17.0
AAPL,2027Q2,,2027-03-31,,2.1225,,2.1225,,115581.9402,17.0,17.0,14.0
AAPL,2027Q3,,2027-06-30,,1.9537,,1.9537,,108379.0424,17.0,17.0,14.0
AAPL,2027Q4,,2027-09-30,,2.2009,,2.2009,,117818.5998,17.0,17.0,14.0
AAPL,2028Q1,,2027-12-31,,3.2873,,3.2873,,156695.0585,5.0,5.0,5.0
AAPL,2028Q2,,2028-03-31,,2.421,,2.421,,120890.4503,3.0,3.0,3.0
AAPL,2028Q3,,2028-06-30,,2.1671,,2.1671,,112078.7307,3.0,3.0,3.0
AAPL,2028Q4,,2028-09-30,,2.4509,,2.4509,,123401.8267,3.0,3.0,3.0
